#{"t_start": 1776510103.5959845, "env_id": "None"}
r,l,t
-21256.511162,10,6.128398
-1261.705565,8,6.131016
-2194.989972,10,6.134239
-5158.588531,9,6.137134
-6181.668942,9,6.140479
-2231.799188,9,6.14757
-4799.957124,9,6.150852
-612.26395,9,6.153628
-4129.163079,9,6.16085
-4286.458818,9,6.164225
-4841.154092,9,6.166412
-2096.634795,9,6.168643
-105.065265,8,6.17155
-1562.819897,9,6.174474
-2898.927161,9,6.178477
-136.393157,7,6.180372
-987.311168,8,6.182471
-924.376125,8,6.18475
-950.85389,8,6.187422
-1185.74158,9,6.190237
-3895.815586,11,6.194251
-1117.919808,8,6.196934
-1713.748052,9,6.19977
-948.280604,9,6.202813
-1636.043226,9,6.205634
-4957.544417,9,6.208633
-866.589949,9,6.211584
-8560.244054,9,6.214394
-1143.892455,8,6.21726
-5762.627919,9,6.220678
-35592.330446,10,6.224223
-1011.854966,10,6.228198
-685.556169,9,6.231184
-2318.420743,9,6.234323
-1442.435101,8,6.236895
-4697.472394,9,6.239866
-888.63766,8,6.242605
-75.740677,8,6.245181
-1409.753072,8,6.248115
-4499.601936,11,6.252129
-1086.397844,8,6.254872
-325.671289,8,6.257526
-634.064929,8,6.260452
-119.706752,7,6.262944
-16615.357014,10,6.266784
-1112.184092,8,6.269522
-665.945999,8,6.272359
-464.425215,12,6.276988
-1066.213435,8,6.281145
-504.183701,8,6.286427
-6173.128226,9,6.293662
-2395.597918,9,6.298657
-1222.309979,8,6.301517
-17854.48127,14,6.305986
-2282.386436,10,6.311607
-4776.956283,9,6.313886
-109.329318,8,6.315901
-7483.899725,10,6.318186
-4366.915642,9,6.320437
-9972.940177,10,6.322774
-608.920657,10,6.327278
-5059.833451,10,6.329741
-4551.946958,9,6.33197
-4489.679474,9,6.334206
-134.030608,8,6.33629
-5301.329159,9,6.338493
-2274.783572,9,6.34153
-4377.844017,9,6.344289
-6079.550084,9,6.346732
-312.229702,8,6.348887
-745.2742,9,6.351231
-2307.076412,10,6.353873
-238.244053,8,6.355996
-3704.997176,10,6.36042
-2000.41752,9,6.363438
-97.47664,8,6.366151
-7357.542655,9,6.369058
-133.286286,7,6.371539
-4363.602334,9,6.378086
-1392.08897,9,6.380616
-328.864217,8,6.382707
-692.972446,8,6.384855
-765.652158,8,6.386931
-5891.782024,9,6.390008
-887.743745,8,6.393921
-284.989349,8,6.396186
-1006.322581,8,6.398391
-4251.467656,9,6.40072
-3785.399849,9,6.40325
-232.014907,9,6.406193
-1132.976376,10,6.409994
-6109.723015,10,7.070006
-1045.256182,10,7.073493
-1032.657554,8,7.07889
-2693.229288,9,7.0828
-1916.961408,11,7.086203
-4374.492893,10,7.089342
-304.249242,8,7.092189
-947.984233,8,7.094802
-2529.87543,10,7.098082
-1041.824861,8,7.100782
-1116.337718,8,7.103354
-5340.016545,9,7.106153
-531.506083,8,7.110533
-233.432903,8,7.11497
-4409.822778,9,7.117854
-406.599664,8,7.120359
-3359.803405,9,7.123281
-652.208916,9,7.128587
-423.546592,8,7.131772
-4267.328208,9,7.134582
-1000.417273,8,7.137011
-839.358986,8,7.139514
-1073.102912,8,7.142176
-1007.440459,8,7.144775
-753.745178,8,7.149006
-1449.388154,8,7.15721
-3306.496073,11,7.165703
-1311.216642,9,7.169791
-1541.16293,8,7.176427
-4667.548965,10,7.183972
-591.862952,10,7.190662
-442.379788,8,7.194107
-3519.671761,10,7.206108
-4377.51191,11,7.217663
-1088.33802,8,7.223837
-890.174156,9,7.230417
-5720.541459,9,7.247079
-1667.663561,8,7.255419
-18404.139958,10,7.263772
-5214.562373,9,7.268487
-693.135082,8,7.277568
-1054.776588,8,7.280951
-330.17183,9,7.289582
-3342.584892,10,7.301084
-868.771692,9,7.310159
-2281.803006,9,7.314359
-2257.430309,9,7.317104
-1082.950923,8,7.31991
-390.614602,8,7.323316
-4626.483578,9,7.328672
-1124.211236,8,7.332078
-99.286372,8,7.335194
-1086.265429,9,7.338837
-499.105679,8,7.344402
-1141.143466,9,7.352166
-1189.195156,9,7.359369
-4574.449301,11,7.363721
-4932.689905,10,7.367165
-2251.537116,9,7.375403
-671.093478,8,7.383076
-78.220917,8,7.389133
-2784.18248,9,7.392292
-645.839519,8,7.394787
-1176.376202,8,7.397152
-767.684566,8,7.399524
-361.459739,8,7.401952
-1197.443867,8,7.404683
-8600.041573,9,7.407319
-1388.772536,9,7.41015
-1201.346615,9,7.412755
-1048.921889,8,7.415097
-298.670132,8,7.417947
-3896.38203,9,7.421329
-522.665077,8,7.424079
-1126.007923,8,7.427762
-726.156136,9,7.430403
-88.298151,10,7.433964
-5156.186406,9,7.437435
-122.967291,7,7.441906
-6978.993467,10,7.447896
-5131.705476,9,7.454009
-4609.035127,9,7.461026
-1134.061338,8,7.463827
-135.332349,9,7.467454
-1949.504348,9,7.470865
-4737.896488,12,7.47568
-11230.128725,9,7.479579
-129.653334,7,7.482505
-4241.279185,9,7.485972
-879.753578,8,7.489092
-1601.68421,9,7.49545
-2592.290515,9,7.498946
-565.049587,8,7.502016
-5353.491806,9,7.505367
-4096.941629,9,7.508998
-743.979434,8,7.51276
-123.383294,7,7.515282
-261.734272,8,7.517864
-3714.671001,9,7.521029
-4467.093653,9,7.524132
-675.248794,9,7.528321
-2278.832811,9,7.531456
-2226.564201,9,7.534807
-125.536975,7,7.536686
-6145.135363,11,7.539825
-899.841083,8,7.543991
-524.652612,8,7.546723
-402.87278,8,7.549757
-4631.755381,9,7.552806
-712.835293,8,7.555821
-728.161923,8,7.558849
-546.456355,8,7.562158
-4324.539978,9,7.565517
-438.086554,8,7.568391
-956.321287,9,7.571728
-7858.625462,9,7.576243
-924.381977,9,7.579969
-504.453804,10,7.58351
-4285.871957,10,7.587043
-1518.250944,8,7.59081
-511.265917,8,7.595356
-1005.397921,8,7.598051
-1191.504001,8,7.600496
-1585.003844,8,7.602731
-2409.009917,9,7.606026
-4703.886465,9,7.613559
-7438.284646,9,7.616207
-278.841128,8,7.61887
-142.65417,7,7.62091
-5242.557218,9,7.624501
-37290.930284,11,7.628921
-6708.55374,10,7.63154
-1085.189515,8,7.633668
-71.15476,10,7.636385
-2270.611253,9,7.640284
-400.759475,8,7.647441
-228.469876,8,7.652342
-6896.785968,9,7.656622
-510.588998,10,7.662093
-5247.674784,10,7.666294
-1317.584677,8,7.670122
-552.852972,8,7.673239
-1744.023842,9,7.676693
-228.961942,9,7.67955
-3559.807888,9,7.682095
-1262.128904,8,7.685527
-5351.652042,12,7.689849
-1662.954617,9,7.694933
-1093.281921,8,7.698301
-894.721692,9,7.702012
-700.291981,9,7.705659
-4248.637321,9,7.71069
-531.978248,8,7.714896
-301.494819,8,7.717746
-2371.545973,9,7.720249
-3604.136376,9,7.723228
-1043.955351,9,7.730227
